,chr,start,end,SW579_THYROID,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
2771,14,24911411,24912119,0.042,22.0,24.0,42.0,39.0,17.0,32.0,36.0,55.0,37.0,28.0,53.0,65.0,51.0,56.0,53.0,97.0,2.0,10.0,9.0,19.0,9.0,16.0,12.0,15.0,27.0,15.0,22.0,24.0,26.0,18.0,36.0,57.0
2772,14,26674163,26674478,0.793,12.0,6.0,26.0,9.0,7.0,16.0,17.0,21.0,25.0,16.0,32.0,31.0,9.0,23.0,30.0,34.0,4.0,0.0,6.0,2.0,2.0,6.0,8.0,7.0,5.0,14.0,2.0,4.0,2.0,12.0,31.0,8.0
2773,14,27066313,27066578,0.046,2.0,3.0,24.0,5.0,3.0,8.0,9.0,8.0,19.0,9.0,81.0,31.0,10.0,8.0,27.0,17.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,8.0,5.0,2.0,1.0,2.0,0.0
2774,14,29236835,29237832,0.06,40.0,17.0,58.0,70.0,16.0,20.0,40.0,60.0,53.0,31.0,106.0,117.0,76.0,68.0,104.0,120.0,11.0,4.0,14.0,20.0,3.0,8.0,16.0,17.0,9.0,13.0,19.0,31.0,15.0,10.0,65.0,44.0
2775,14,29243403,29243763,0.455,11.0,8.0,31.0,11.0,7.0,20.0,27.0,20.0,31.0,23.0,46.0,36.0,12.0,23.0,33.0,20.0,4.0,4.0,8.0,1.0,1.0,2.0,5.0,12.0,7.0,6.0,7.0,4.0,6.0,10.0,26.0,36.0
2776,14,29254365,29255069,0.316,34.0,12.0,45.0,38.0,10.0,40.0,26.0,51.0,38.0,27.0,57.0,65.0,47.0,48.0,60.0,105.0,9.0,8.0,9.0,13.0,2.0,17.0,8.0,28.0,7.0,3.0,16.0,16.0,19.0,13.0,23.0,45.0
2777,14,31028133,31028812,0.042,34.0,13.0,53.0,34.0,13.0,40.0,37.0,32.0,51.0,33.0,82.0,64.0,36.0,36.0,59.0,61.0,4.0,2.0,15.0,13.0,0.0,13.0,13.0,10.0,21.0,5.0,33.0,26.0,21.0,6.0,26.0,12.0
2778,14,31889168,31890024,0.03,19.0,13.0,61.0,41.0,12.0,31.0,43.0,50.0,53.0,32.0,87.0,104.0,50.0,60.0,86.0,113.0,11.0,2.0,23.0,4.0,11.0,11.0,9.0,9.0,24.0,7.0,9.0,30.0,25.0,43.0,47.0,59.0
2779,14,31926260,31926810,0.07,20.0,11.0,36.0,32.0,12.0,11.0,29.0,24.0,39.0,17.0,64.0,69.0,28.0,37.0,61.0,59.0,3.0,7.0,15.0,5.0,7.0,2.0,20.0,18.0,11.0,5.0,12.0,20.0,11.0,17.0,34.0,19.0
2780,14,32670417,32671092,0.024,32.0,16.0,46.0,40.0,13.0,16.0,43.0,38.0,46.0,34.0,66.0,61.0,43.0,44.0,53.0,83.0,5.0,6.0,18.0,15.0,3.0,7.0,12.0,16.0,21.0,5.0,21.0,11.0,15.0,22.0,32.0,34.0
2781,14,32672536,32672915,0.046,11.0,11.0,22.0,15.0,6.0,15.0,28.0,16.0,24.0,17.0,47.0,47.0,18.0,22.0,39.0,40.0,1.0,2.0,2.0,2.0,1.0,4.0,12.0,2.0,10.0,5.0,18.0,20.0,8.0,7.0,9.0,8.0
2782,14,34419508,34420438,0.164,22.0,17.0,73.0,43.0,12.0,24.0,43.0,56.0,67.0,40.0,93.0,106.0,54.0,54.0,98.0,127.0,8.0,2.0,20.0,12.0,3.0,11.0,14.0,22.0,21.0,7.0,30.0,29.0,15.0,20.0,54.0,52.0
2783,14,34529120,34529959,0.138,25.0,12.0,60.0,27.0,13.0,22.0,44.0,43.0,42.0,36.0,89.0,118.0,44.0,52.0,93.0,118.0,12.0,4.0,16.0,3.0,7.0,3.0,11.0,14.0,26.0,7.0,26.0,50.0,24.0,25.0,56.0,37.0
2784,14,35008526,35009049,0.065,26.0,10.0,39.0,27.0,12.0,13.0,16.0,33.0,27.0,21.0,64.0,56.0,37.0,30.0,50.0,61.0,7.0,3.0,7.0,7.0,5.0,1.0,1.0,6.0,6.0,3.0,17.0,9.0,32.0,16.0,27.0,24.0
2785,14,35098694,35099478,0.029,33.0,15.0,60.0,29.0,6.0,13.0,32.0,37.0,63.0,32.0,138.0,82.0,35.0,28.0,86.0,94.0,5.0,3.0,9.0,13.0,4.0,2.0,8.0,33.0,17.0,7.0,33.0,30.0,24.0,15.0,53.0,26.0
2786,14,35183385,35184196,0.068,26.0,7.0,65.0,19.0,10.0,16.0,33.0,39.0,37.0,31.0,120.0,120.0,44.0,44.0,91.0,108.0,6.0,1.0,12.0,7.0,2.0,2.0,7.0,11.0,5.0,12.0,26.0,34.0,20.0,28.0,66.0,55.0
2787,14,35451634,35452544,0.015,41.0,19.0,63.0,43.0,33.0,57.0,53.0,63.0,43.0,53.0,87.0,83.0,49.0,77.0,64.0,81.0,9.0,9.0,22.0,12.0,9.0,17.0,9.0,15.0,19.0,17.0,22.0,55.0,24.0,23.0,42.0,36.0
2788,14,35515262,35515937,0.037,9.0,8.0,52.0,26.0,9.0,18.0,37.0,30.0,46.0,26.0,89.0,93.0,31.0,42.0,77.0,81.0,1.0,4.0,18.0,7.0,1.0,4.0,5.0,13.0,15.0,5.0,28.0,25.0,12.0,14.0,35.0,39.0
2789,14,35591126,35592003,0.038,45.0,25.0,58.0,38.0,29.0,75.0,49.0,66.0,43.0,51.0,56.0,76.0,49.0,68.0,64.0,84.0,8.0,11.0,4.0,8.0,5.0,25.0,18.0,25.0,23.0,18.0,15.0,20.0,21.0,26.0,34.0,22.0
2790,14,35761400,35761854,0.019,17.0,9.0,32.0,24.0,13.0,26.0,31.0,24.0,21.0,30.0,45.0,42.0,31.0,29.0,31.0,48.0,3.0,2.0,9.0,13.0,5.0,7.0,8.0,7.0,10.0,11.0,9.0,25.0,19.0,33.0,23.0,28.0
2791,14,35838239,35838628,0.855,10.0,6.0,13.0,18.0,6.0,21.0,31.0,31.0,12.0,20.0,51.0,42.0,19.0,42.0,31.0,35.0,1.0,1.0,4.0,5.0,3.0,8.0,9.0,4.0,2.0,6.0,12.0,13.0,12.0,18.0,22.0,14.0
2792,14,35873047,35873990,0.045,8.0,12.0,40.0,25.0,10.0,24.0,52.0,55.0,32.0,33.0,122.0,146.0,35.0,72.0,120.0,156.0,3.0,1.0,5.0,6.0,1.0,7.0,22.0,16.0,9.0,10.0,17.0,39.0,4.0,20.0,42.0,43.0
2793,14,36295427,36296030,0.07,27.0,15.0,48.0,23.0,8.0,8.0,36.0,27.0,48.0,22.0,94.0,71.0,30.0,34.0,58.0,53.0,4.0,5.0,13.0,4.0,1.0,0.0,8.0,9.0,13.0,3.0,28.0,21.0,36.0,22.0,31.0,23.0
2794,14,36973169,36973740,-1.0,20.0,9.0,45.0,20.0,5.0,10.0,25.0,30.0,38.0,15.0,74.0,78.0,31.0,36.0,62.0,72.0,6.0,2.0,8.0,7.0,0.0,0.0,4.0,14.0,9.0,6.0,8.0,33.0,14.0,23.0,41.0,24.0
2795,14,36974548,36975425,0.282,40.0,20.0,63.0,27.0,14.0,20.0,49.0,49.0,56.0,30.0,143.0,94.0,40.0,62.0,69.0,100.0,12.0,3.0,14.0,3.0,15.0,2.0,10.0,11.0,21.0,22.0,22.0,46.0,10.0,22.0,29.0,32.0
2796,14,36977518,36977996,0.362,16.0,4.0,40.0,22.0,7.0,19.0,25.0,18.0,42.0,19.0,94.0,47.0,17.0,27.0,44.0,36.0,3.0,0.0,10.0,3.0,5.0,1.0,3.0,9.0,11.0,6.0,16.0,8.0,5.0,6.0,23.0,8.0
2797,14,36983440,36983738,-1.0,17.0,9.0,22.0,14.0,8.0,19.0,18.0,18.0,21.0,15.0,24.0,25.0,16.0,20.0,22.0,29.0,4.0,15.0,2.0,2.0,4.0,14.0,4.0,6.0,11.0,1.0,3.0,0.0,7.0,9.0,15.0,13.0
2798,14,36990873,36991209,0.079,14.0,5.0,24.0,17.0,5.0,15.0,23.0,14.0,25.0,11.0,38.0,39.0,16.0,26.0,29.0,34.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,22.0,4.0,9.0,32.0,4.0
2799,14,36991594,36992488,-1.0,41.0,19.0,55.0,50.0,20.0,38.0,46.0,64.0,43.0,23.0,75.0,97.0,61.0,88.0,63.0,110.0,6.0,3.0,19.0,11.0,8.0,10.0,10.0,19.0,13.0,10.0,14.0,41.0,12.0,27.0,38.0,31.0
2800,14,36993488,36994488,0.53,44.0,24.0,82.0,36.0,22.0,57.0,54.0,65.0,71.0,38.0,128.0,96.0,49.0,79.0,70.0,84.0,12.0,5.0,6.0,8.0,9.0,18.0,13.0,28.0,9.0,5.0,19.0,19.0,29.0,37.0,40.0,45.0
2801,14,37052537,37052838,-1.0,5.0,9.0,17.0,9.0,3.0,14.0,24.0,18.0,17.0,7.0,33.0,38.0,15.0,29.0,22.0,40.0,2.0,9.0,7.0,2.0,0.0,2.0,5.0,5.0,12.0,0.0,4.0,9.0,3.0,12.0,14.0,17.0
2802,14,37053134,37053690,-1.0,31.0,26.0,29.0,21.0,13.0,32.0,40.0,31.0,33.0,23.0,59.0,57.0,30.0,35.0,45.0,50.0,12.0,4.0,3.0,1.0,2.0,11.0,6.0,1.0,13.0,8.0,14.0,14.0,9.0,8.0,18.0,21.0
2803,14,37125219,37125661,-1.0,20.0,12.0,28.0,25.0,8.0,12.0,30.0,29.0,35.0,18.0,53.0,43.0,22.0,37.0,39.0,30.0,1.0,3.0,3.0,7.0,6.0,3.0,7.0,17.0,12.0,7.0,13.0,25.0,9.0,21.0,20.0,6.0
2804,14,37135513,37136348,0.437,27.0,6.0,66.0,26.0,7.0,27.0,42.0,53.0,52.0,32.0,125.0,99.0,39.0,64.0,76.0,93.0,12.0,2.0,15.0,4.0,3.0,2.0,1.0,21.0,31.0,5.0,23.0,35.0,18.0,29.0,43.0,22.0
2805,14,37641232,37641879,0.023,29.0,13.0,48.0,32.0,9.0,23.0,34.0,44.0,47.0,18.0,73.0,77.0,37.0,56.0,61.0,45.0,10.0,5.0,17.0,7.0,0.0,11.0,7.0,12.0,23.0,7.0,14.0,48.0,33.0,22.0,30.0,19.0
2806,14,37666686,37667493,0.042,38.0,21.0,53.0,38.0,15.0,48.0,41.0,66.0,50.0,39.0,63.0,75.0,47.0,62.0,71.0,79.0,6.0,5.0,5.0,7.0,2.0,9.0,10.0,18.0,27.0,11.0,31.0,24.0,11.0,28.0,36.0,18.0
2807,14,38057138,38057798,0.85,35.0,11.0,49.0,26.0,8.0,26.0,36.0,37.0,39.0,32.0,82.0,71.0,39.0,38.0,58.0,72.0,2.0,4.0,20.0,4.0,3.0,14.0,10.0,10.0,15.0,8.0,23.0,21.0,28.0,16.0,45.0,12.0
2808,14,38677154,38677787,0.191,33.0,18.0,45.0,33.0,21.0,35.0,38.0,45.0,33.0,33.0,47.0,59.0,42.0,53.0,43.0,54.0,11.0,2.0,13.0,13.0,9.0,17.0,14.0,18.0,7.0,9.0,8.0,26.0,22.0,16.0,37.0,16.0
2809,14,39572095,39572703,0.046,17.0,6.0,61.0,27.0,5.0,9.0,17.0,22.0,50.0,13.0,90.0,73.0,39.0,25.0,59.0,94.0,4.0,3.0,18.0,4.0,1.0,2.0,5.0,5.0,11.0,2.0,31.0,45.0,20.0,14.0,39.0,24.0
2810,14,39639364,39639635,0.0,21.0,8.0,16.0,17.0,10.0,7.0,11.0,18.0,17.0,8.0,25.0,24.0,14.0,23.0,23.0,28.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,10.0,0.0,4.0,4.0,9.0,10.0,17.0,10.0
2811,14,39644344,39645022,0.018,36.0,12.0,55.0,25.0,9.0,20.0,41.0,39.0,53.0,30.0,81.0,71.0,30.0,47.0,59.0,69.0,8.0,4.0,11.0,7.0,2.0,8.0,17.0,12.0,13.0,13.0,15.0,25.0,11.0,27.0,26.0,20.0
2812,14,42075858,42076329,0.076,7.0,4.0,25.0,17.0,1.0,11.0,24.0,26.0,20.0,14.0,53.0,79.0,25.0,33.0,65.0,66.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,9.0,3.0,0.0,17.0,17.0,8.0,13.0,28.0,17.0
2813,14,45366387,45367108,0.059,12.0,11.0,44.0,25.0,13.0,19.0,44.0,33.0,34.0,36.0,120.0,99.0,33.0,43.0,82.0,72.0,6.0,1.0,10.0,5.0,11.0,17.0,18.0,14.0,7.0,7.0,46.0,41.0,16.0,11.0,62.0,29.0
2814,14,45431628,45432115,0.035,14.0,10.0,34.0,19.0,9.0,27.0,33.0,41.0,34.0,19.0,47.0,46.0,20.0,54.0,33.0,46.0,5.0,1.0,12.0,3.0,2.0,9.0,9.0,19.0,11.0,9.0,7.0,22.0,4.0,19.0,17.0,10.0
2815,14,45603373,45603906,0.078,18.0,12.0,36.0,23.0,12.0,18.0,31.0,35.0,31.0,23.0,61.0,58.0,28.0,43.0,46.0,57.0,6.0,16.0,5.0,9.0,2.0,6.0,5.0,18.0,20.0,6.0,23.0,24.0,15.0,14.0,13.0,26.0
2816,14,45722148,45722802,0.037,28.0,9.0,44.0,37.0,15.0,25.0,33.0,37.0,37.0,31.0,64.0,77.0,38.0,45.0,69.0,64.0,5.0,2.0,4.0,10.0,3.0,2.0,10.0,4.0,5.0,18.0,17.0,31.0,13.0,9.0,24.0,10.0
2817,14,50065184,50066027,0.029,43.0,11.0,66.0,43.0,12.0,25.0,46.0,44.0,55.0,44.0,80.0,93.0,53.0,47.0,81.0,99.0,9.0,3.0,8.0,19.0,6.0,4.0,11.0,27.0,10.0,15.0,26.0,61.0,39.0,19.0,45.0,42.0
2818,14,50154754,50155239,0.082,13.0,5.0,32.0,20.0,6.0,18.0,25.0,27.0,22.0,12.0,33.0,74.0,29.0,41.0,52.0,75.0,5.0,0.0,5.0,4.0,6.0,4.0,11.0,9.0,9.0,7.0,6.0,24.0,11.0,26.0,32.0,28.0
2819,14,50159667,50160424,0.026,27.0,20.0,44.0,36.0,22.0,33.0,36.0,38.0,40.0,29.0,73.0,95.0,38.0,47.0,85.0,93.0,9.0,0.0,8.0,11.0,0.0,9.0,6.0,4.0,4.0,4.0,18.0,15.0,10.0,9.0,21.0,11.0
2820,14,50328810,50329046,0.029,19.0,9.0,15.0,9.0,7.0,24.0,16.0,12.0,17.0,12.0,19.0,20.0,9.0,14.0,19.0,14.0,6.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,6.0,3.0,1.0,3.0,4.0,5.0,8.0,1.0
2821,14,50470015,50470419,0.042,9.0,7.0,29.0,12.0,3.0,11.0,25.0,14.0,26.0,13.0,70.0,57.0,19.0,22.0,43.0,43.0,4.0,2.0,4.0,3.0,2.0,3.0,6.0,2.0,15.0,2.0,29.0,23.0,4.0,4.0,26.0,18.0
2822,14,50582970,50583504,0.042,26.0,10.0,34.0,34.0,16.0,15.0,18.0,24.0,20.0,20.0,35.0,71.0,42.0,28.0,60.0,80.0,16.0,1.0,7.0,25.0,4.0,4.0,10.0,13.0,2.0,5.0,15.0,39.0,16.0,18.0,46.0,44.0
2823,14,50697800,50698733,0.076,12.0,9.0,56.0,32.0,11.0,17.0,32.0,52.0,45.0,20.0,114.0,150.0,41.0,66.0,128.0,147.0,4.0,1.0,8.0,3.0,1.0,4.0,16.0,10.0,10.0,5.0,21.0,34.0,17.0,23.0,48.0,30.0
2824,14,50778680,50779544,0.033,27.0,11.0,48.0,42.0,12.0,22.0,39.0,53.0,41.0,28.0,96.0,110.0,48.0,65.0,93.0,128.0,9.0,1.0,12.0,23.0,3.0,11.0,10.0,20.0,14.0,10.0,25.0,20.0,16.0,36.0,50.0,52.0
2825,14,50863088,50863563,0.022,27.0,15.0,28.0,24.0,20.0,22.0,19.0,23.0,25.0,20.0,42.0,51.0,22.0,27.0,50.0,59.0,8.0,2.0,4.0,5.0,9.0,14.0,6.0,14.0,6.0,4.0,16.0,30.0,6.0,16.0,27.0,29.0
2826,14,51026872,51027570,0.073,19.0,9.0,52.0,33.0,9.0,19.0,36.0,33.0,40.0,23.0,100.0,86.0,45.0,46.0,62.0,85.0,4.0,3.0,20.0,5.0,2.0,3.0,10.0,17.0,9.0,14.0,36.0,32.0,43.0,31.0,37.0,31.0
2827,14,51134480,51135304,0.048,20.0,10.0,42.0,36.0,10.0,23.0,33.0,55.0,44.0,26.0,78.0,114.0,34.0,62.0,110.0,126.0,5.0,9.0,10.0,5.0,1.0,6.0,3.0,14.0,15.0,5.0,18.0,52.0,16.0,14.0,61.0,27.0
2828,14,51338712,51339146,0.668,5.0,7.0,20.0,17.0,4.0,2.0,23.0,15.0,21.0,14.0,74.0,68.0,19.0,21.0,61.0,62.0,0.0,1.0,4.0,0.0,1.0,0.0,8.0,0.0,11.0,1.0,8.0,22.0,2.0,3.0,16.0,16.0
2829,14,51410614,51411464,0.009,16.0,9.0,48.0,34.0,7.0,26.0,56.0,50.0,41.0,48.0,115.0,102.0,43.0,56.0,88.0,110.0,8.0,0.0,8.0,5.0,5.0,7.0,16.0,20.0,7.0,21.0,37.0,31.0,14.0,10.0,61.0,48.0
2830,14,52456128,52456593,0.015,8.0,5.0,19.0,21.0,3.0,18.0,19.0,36.0,21.0,18.0,42.0,58.0,21.0,35.0,60.0,80.0,2.0,0.0,9.0,3.0,2.0,2.0,8.0,8.0,10.0,4.0,12.0,19.0,7.0,16.0,33.0,29.0
2831,14,53161838,53162780,0.041,21.0,13.0,53.0,44.0,3.0,16.0,39.0,58.0,42.0,37.0,92.0,126.0,65.0,50.0,114.0,168.0,4.0,1.0,11.0,7.0,0.0,1.0,10.0,15.0,14.0,7.0,5.0,46.0,54.0,13.0,42.0,62.0
2832,14,53173752,53174112,0.038,19.0,12.0,30.0,18.0,9.0,18.0,15.0,22.0,30.0,11.0,32.0,29.0,21.0,23.0,26.0,44.0,6.0,2.0,6.0,8.0,2.0,10.0,2.0,3.0,12.0,3.0,4.0,8.0,13.0,13.0,10.0,11.0
2833,14,53196608,53197450,0.053,14.0,7.0,55.0,36.0,11.0,17.0,51.0,54.0,47.0,42.0,103.0,94.0,40.0,67.0,78.0,125.0,10.0,1.0,9.0,12.0,5.0,3.0,8.0,12.0,7.0,17.0,29.0,24.0,31.0,23.0,41.0,52.0
2834,14,53257664,53258400,0.044,22.0,14.0,49.0,45.0,8.0,14.0,32.0,44.0,38.0,25.0,67.0,84.0,62.0,45.0,67.0,119.0,19.0,14.0,12.0,8.0,2.0,4.0,8.0,10.0,21.0,6.0,17.0,50.0,19.0,15.0,40.0,76.0
2835,14,54413304,54413764,0.926,7.0,8.0,26.0,13.0,2.0,8.0,29.0,24.0,28.0,20.0,74.0,61.0,17.0,27.0,55.0,60.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,8.0,13.0,7.0,4.0,27.0,7.0
2836,14,54418677,54418881,-1.0,10.0,8.0,12.0,5.0,5.0,7.0,12.0,19.0,9.0,10.0,15.0,24.0,11.0,18.0,20.0,18.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,9.0,5.0,2.0,1.0,3.0,0.0,4.0,15.0,3.0
2837,14,54863423,54864254,0.025,34.0,11.0,67.0,42.0,13.0,17.0,45.0,39.0,62.0,39.0,102.0,92.0,45.0,47.0,82.0,93.0,23.0,0.0,21.0,7.0,7.0,10.0,11.0,26.0,16.0,8.0,15.0,39.0,29.0,14.0,63.0,55.0
2838,14,54907596,54908237,0.013,21.0,10.0,43.0,23.0,7.0,6.0,28.0,22.0,32.0,21.0,66.0,107.0,37.0,26.0,90.0,101.0,4.0,0.0,8.0,5.0,0.0,2.0,3.0,6.0,5.0,10.0,10.0,18.0,21.0,9.0,34.0,29.0
2839,14,54955388,54955831,0.029,19.0,10.0,21.0,16.0,8.0,8.0,23.0,21.0,15.0,10.0,51.0,66.0,24.0,32.0,48.0,70.0,3.0,2.0,11.0,1.0,2.0,0.0,8.0,3.0,4.0,4.0,10.0,8.0,12.0,20.0,24.0,29.0
2840,14,54976311,54976995,0.019,21.0,16.0,41.0,33.0,19.0,23.0,46.0,35.0,38.0,40.0,101.0,69.0,33.0,44.0,61.0,63.0,3.0,9.0,11.0,8.0,12.0,4.0,18.0,11.0,18.0,13.0,29.0,33.0,9.0,19.0,43.0,24.0
2841,14,55493614,55494032,0.058,17.0,7.0,30.0,25.0,3.0,9.0,22.0,19.0,33.0,19.0,54.0,44.0,26.0,18.0,45.0,46.0,3.0,2.0,4.0,5.0,1.0,0.0,6.0,18.0,13.0,6.0,11.0,29.0,10.0,7.0,21.0,6.0
2842,14,55518131,55518957,0.04,16.0,10.0,47.0,24.0,13.0,25.0,45.0,50.0,42.0,40.0,120.0,109.0,26.0,58.0,100.0,100.0,0.0,4.0,7.0,9.0,17.0,17.0,11.0,17.0,17.0,6.0,32.0,48.0,18.0,20.0,71.0,26.0
2843,14,55595697,55596692,0.029,10.0,11.0,70.0,35.0,7.0,26.0,43.0,54.0,57.0,32.0,160.0,137.0,52.0,61.0,114.0,125.0,0.0,4.0,14.0,6.0,2.0,4.0,5.0,18.0,23.0,5.0,45.0,44.0,39.0,26.0,68.0,41.0
2844,14,55658232,55658550,0.072,23.0,11.0,24.0,19.0,3.0,16.0,19.0,14.0,34.0,12.0,38.0,22.0,17.0,13.0,26.0,26.0,3.0,1.0,3.0,4.0,0.0,11.0,1.0,12.0,16.0,2.0,8.0,4.0,2.0,5.0,27.0,10.0
2845,14,55878302,55878681,0.019,6.0,8.0,27.0,14.0,4.0,12.0,18.0,22.0,21.0,20.0,49.0,44.0,24.0,16.0,41.0,52.0,4.0,1.0,5.0,5.0,5.0,7.0,6.0,3.0,4.0,2.0,15.0,15.0,13.0,2.0,23.0,18.0
2846,14,55907197,55907433,0.852,6.0,6.0,25.0,3.0,5.0,5.0,11.0,6.0,20.0,6.0,48.0,33.0,9.0,10.0,24.0,18.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,10.0,1.0,9.0,13.0,8.0,1.0,14.0,9.0
2847,14,57046472,57046804,0.027,7.0,3.0,16.0,11.0,3.0,7.0,18.0,25.0,11.0,22.0,50.0,41.0,16.0,21.0,41.0,39.0,4.0,0.0,4.0,2.0,0.0,10.0,3.0,11.0,1.0,15.0,3.0,17.0,2.0,7.0,11.0,11.0
2848,14,57264638,57265561,-1.0,20.0,5.0,68.0,28.0,11.0,21.0,42.0,50.0,44.0,29.0,125.0,125.0,46.0,69.0,89.0,150.0,6.0,2.0,15.0,6.0,2.0,4.0,13.0,5.0,19.0,6.0,19.0,64.0,28.0,23.0,71.0,57.0
2849,14,57278068,57278287,-1.0,11.0,4.0,21.0,12.0,3.0,4.0,17.0,4.0,27.0,10.0,26.0,20.0,7.0,10.0,20.0,22.0,2.0,0.0,2.0,5.0,0.0,1.0,6.0,0.0,9.0,0.0,2.0,6.0,1.0,4.0,19.0,5.0
2850,14,57278709,57279116,-1.0,10.0,5.0,27.0,15.0,8.0,15.0,23.0,22.0,21.0,18.0,60.0,43.0,18.0,30.0,33.0,58.0,1.0,1.0,9.0,1.0,1.0,7.0,10.0,6.0,13.0,1.0,19.0,18.0,12.0,14.0,49.0,14.0
2851,14,57283967,57284558,-1.0,18.0,7.0,39.0,29.0,8.0,25.0,35.0,38.0,32.0,25.0,71.0,59.0,35.0,49.0,43.0,77.0,9.0,0.0,11.0,5.0,2.0,17.0,12.0,6.0,8.0,1.0,9.0,13.0,12.0,23.0,25.0,11.0
2852,14,57735106,57735704,0.056,25.0,9.0,34.0,26.0,5.0,10.0,24.0,41.0,27.0,11.0,50.0,83.0,37.0,50.0,64.0,101.0,5.0,3.0,3.0,4.0,0.0,1.0,4.0,11.0,8.0,2.0,10.0,24.0,16.0,25.0,22.0,29.0
2853,14,58618291,58619220,0.055,24.0,12.0,59.0,41.0,14.0,30.0,53.0,49.0,52.0,31.0,105.0,131.0,46.0,73.0,103.0,105.0,5.0,1.0,11.0,6.0,7.0,12.0,17.0,22.0,15.0,12.0,22.0,62.0,32.0,22.0,61.0,33.0
2854,14,58666567,58667198,0.021,12.0,13.0,38.0,25.0,9.0,23.0,31.0,35.0,42.0,19.0,73.0,82.0,25.0,43.0,75.0,85.0,4.0,1.0,1.0,12.0,1.0,9.0,1.0,11.0,6.0,0.0,9.0,6.0,6.0,14.0,18.0,15.0
2855,14,58711351,58711897,0.023,22.0,17.0,33.0,23.0,18.0,39.0,37.0,32.0,29.0,31.0,56.0,52.0,26.0,39.0,43.0,48.0,6.0,8.0,4.0,8.0,7.0,10.0,13.0,6.0,17.0,7.0,11.0,21.0,5.0,32.0,20.0,33.0
2856,14,58764507,58764961,0.025,28.0,15.0,22.0,26.0,8.0,17.0,28.0,28.0,26.0,14.0,31.0,43.0,29.0,35.0,34.0,69.0,19.0,10.0,3.0,8.0,5.0,3.0,8.0,4.0,11.0,2.0,6.0,22.0,9.0,19.0,28.0,27.0
2857,14,58862541,58863209,-1.0,13.0,6.0,47.0,19.0,7.0,16.0,39.0,29.0,31.0,29.0,86.0,105.0,34.0,40.0,80.0,86.0,1.0,0.0,14.0,3.0,0.0,7.0,10.0,12.0,8.0,7.0,34.0,30.0,10.0,17.0,58.0,40.0
2858,14,58893618,58893953,0.009,13.0,8.0,24.0,25.0,10.0,13.0,15.0,17.0,24.0,16.0,37.0,26.0,23.0,18.0,28.0,37.0,2.0,1.0,15.0,8.0,0.0,2.0,3.0,4.0,12.0,5.0,10.0,7.0,10.0,7.0,11.0,11.0
2859,14,59113071,59113640,0.993,29.0,7.0,50.0,33.0,12.0,10.0,31.0,23.0,47.0,28.0,73.0,55.0,31.0,31.0,50.0,58.0,17.0,9.0,8.0,12.0,9.0,1.0,5.0,10.0,12.0,9.0,8.0,27.0,16.0,10.0,40.0,16.0
2860,14,60097208,60097553,0.094,6.0,4.0,19.0,8.0,2.0,5.0,28.0,12.0,15.0,14.0,52.0,68.0,14.0,24.0,51.0,22.0,0.0,2.0,7.0,4.0,0.0,4.0,13.0,1.0,7.0,3.0,9.0,14.0,9.0,1.0,36.0,10.0
2861,14,60336951,60337461,0.186,8.0,7.0,25.0,14.0,2.0,13.0,30.0,24.0,23.0,16.0,79.0,78.0,21.0,33.0,63.0,73.0,0.0,3.0,3.0,0.0,2.0,5.0,8.0,5.0,5.0,4.0,12.0,28.0,3.0,4.0,38.0,18.0
2862,14,60386271,60386750,0.127,24.0,12.0,34.0,19.0,8.0,23.0,29.0,27.0,31.0,28.0,51.0,47.0,26.0,24.0,44.0,51.0,16.0,6.0,5.0,2.0,2.0,8.0,11.0,7.0,5.0,11.0,12.0,23.0,9.0,21.0,14.0,18.0
2863,14,60558340,60559176,0.049,39.0,25.0,50.0,42.0,22.0,41.0,43.0,55.0,47.0,44.0,67.0,86.0,48.0,51.0,85.0,90.0,9.0,6.0,20.0,8.0,14.0,14.0,9.0,23.0,40.0,16.0,12.0,37.0,17.0,26.0,39.0,27.0
2864,14,60631740,60632254,0.027,10.0,5.0,47.0,25.0,3.0,7.0,12.0,30.0,23.0,12.0,54.0,78.0,51.0,28.0,55.0,73.0,1.0,0.0,12.0,5.0,1.0,4.0,0.0,9.0,5.0,4.0,6.0,7.0,16.0,7.0,14.0,34.0
2865,14,60794576,60794867,0.085,4.0,4.0,12.0,7.0,4.0,3.0,18.0,15.0,10.0,7.0,50.0,46.0,9.0,26.0,34.0,41.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,13.0,0.0,4.0,6.0,19.0,4.0,4.0,13.0,13.0
